"ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","AREA_SQMI","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV150","M_POV150","E_UNEMP","M_UNEMP","E_HBURD","M_HBURD","E_NOHSDP","M_NOHSDP","E_UNINSUR","M_UNINSUR","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_LIMENG","M_LIMENG","E_MINRTY","M_MINRTY","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV150","MP_POV150","EP_UNEMP","MP_UNEMP","EP_HBURD","MP_HBURD","EP_NOHSDP","MP_NOHSDP","EP_UNINSUR","MP_UNINSUR","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_LIMENG","MP_LIMENG","EP_MINRTY","MP_MINRTY","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV150","EPL_UNEMP","EPL_HBURD","EPL_NOHSDP","EPL_UNINSUR","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","EPL_LIMENG","SPL_THEME2","RPL_THEME2","EPL_MINRTY","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_DAYPOP","E_NOINT","M_NOINT","E_AFAM","M_AFAM","E_HISP","M_HISP","E_ASIAN","M_ASIAN","E_AIAN","M_AIAN","E_NHPI","M_NHPI","E_TWOMORE","M_TWOMORE","E_OTHERRACE","M_OTHERRACE","EP_NOINT","MP_NOINT","EP_AFAM","MP_AFAM","EP_HISP","MP_HISP","EP_ASIAN","MP_ASIAN","EP_AIAN","MP_AIAN","EP_NHPI","MP_NHPI","EP_TWOMORE","MP_TWOMORE","EP_OTHERRACE","MP_OTHERRACE","GeoLevel","Comparison"
"37","North Carolina","NC","37073","Gates County","37073","Gates County, North Carolina","340.612122208318","10509","0","4819","18","4144","189","2481","526","466","195","847","200","738","174","777","220","2229","4","2061","26","1999","285","174","122","106","139","3892","77","0","29","2012","299","38","39","140","79","66","4","24.0","5.1","9.3","3.7","20.4","4.7","9.5","2.3","7.4","2.1","21.2","0.1","19.6","0.2","19.1","2.7","4.2","2.9","1.0","1.4","37.0","0.7","0.0","0.6","41.8","6.2","0.9","0.9","3.4","1.9","0.6","0.0","0.3939","0.9293","0.1717","0.2222","0.0303","1.7474","0.2828","0.6061","0.3434","0.798","0.1414","0.3434","2.2323","0.303","0.5556","0.5556","0.5556","0.0","1.0","0.0505","0.1212","0.0303","1.202","0.0202","5.7373","0.1515","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","6213","1082","228","3295","253","337","240","6","12","64","52","0","21","190","135","0","21","26.1","5.3","31.4","2.4","3.2","2.3","0.1","0.1","0.6","0.5","0.0","0.4","1.8","1.3","0.0","0.4","County","State"
"37","North Carolina","NC","37075","Graham County","37075","Graham County, North Carolina","291.96681694129","8047","0","5272","23","3179","214","1680","380","263","127","603","176","924","194","1401","259","1899","74","1637","93","1550","275","159","82","77","84","1171","13","66","27","1469","215","30","23","205","85","142","29","21.2","4.8","7.7","3.5","19.0","5.4","15.9","3.4","17.7","3.3","23.6","0.9","20.3","1.2","19.6","3.5","5.0","2.6","1.0","1.1","14.6","0.2","1.3","0.5","27.9","4.1","1.0","0.7","6.4","2.6","1.8","0.4","0.2424","0.8889","0.101","0.7576","0.9899","2.9798","0.6364","0.7576","0.4848","0.8182","0.2323","0.3434","2.6363","0.6364","0.202","0.202","0.202","0.2323","0.8788","0.0909","0.6768","0.4646","2.3434","0.404","8.1615","0.5859","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7033","862","183","39","24","332","0","0","19","654","144","0","19","138","142","8","13","27.1","5.8","0.5","0.3","4.1","0.0","0.0","0.5","8.1","1.8","0.0","0.5","1.7","1.8","0.1","0.2","County","State"
"37","North Carolina","NC","37077","Granville County","37077","Granville County, North Carolina","531.99072178142","61161","0","24344","394","21505","496","13612","1411","1314","315","4907","584","6148","687","6079","883","10448","99","12378","84","9443","810","1431","350","1028","306","26724","221","236","95","4639","471","307","148","886","234","4149","1037","23.7","2.4","4.7","1.1","22.8","2.7","14.2","1.6","10.6","1.5","17.1","0.2","20.2","0.1","16.4","1.3","6.6","1.6","1.8","0.5","43.7","0.4","0.9","0.4","19.1","1.9","1.5","0.7","4.1","1.1","6.8","1.7","0.3737","0.2828","0.3939","0.6465","0.3939","2.0908","0.3939","0.2525","0.4545","0.4444","0.5253","0.6869","2.3636","0.3838","0.7071","0.7071","0.7071","0.1313","0.5152","0.2727","0.2424","0.8788","2.0404","0.2727","7.2019","0.3939","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52542","2734","350","17641","514","5704","0","404","138","171","75","231","161","2260","470","313","200","12.7","1.5","28.8","0.8","9.3","0.0","0.7","0.2","0.3","0.1","0.4","0.3","3.7","0.8","0.5","0.3","County","State"
"37","North Carolina","NC","37079","Greene County","37079","Greene County, North Carolina","266.734310697654","20407","0","7889","72","6793","250","5872","641","470","150","1917","276","3494","374","3008","420","3376","61","3890","28","3648","414","556","129","612","185","11068","14","205","78","3186","284","272","118","372","118","2707","150","33.0","3.6","5.5","1.7","28.2","3.9","23.9","2.6","16.9","2.3","16.5","0.3","19.1","0.1","20.5","2.3","8.2","1.9","3.1","1.0","54.2","0.1","2.6","1.0","40.4","3.6","4.0","1.7","5.5","1.7","13.3","0.7","0.8283","0.5253","0.7677","1.0","0.9798","4.1011","0.9394","0.1919","0.3131","0.8889","0.8283","0.9192","3.1414","0.8788","0.8384","0.8384","0.8384","0.5152","0.9899","0.9596","0.5556","0.9697","3.99","0.9899","12.0709","0.9697","0","0","0","1","1","2","0","0","0","0","1","1","0","0","0","1","1","0","1","3","6","15774","1431","219","6515","386","3243","0","15","22","151","102","5","9","1127","354","12","14","21.1","3.1","31.9","1.9","15.9","0.0","0.1","0.1","0.7","0.5","0.0","0.1","5.5","1.7","0.1","0.1","County","State"
"37","North Carolina","NC","37081","Guilford County","37081","Guilford County, North Carolina","645.961458022666","539557","0","233332","179","212825","1105","124609","4200","14457","1369","61245","2292","35407","1717","48995","2573","83813","0","118288","0","63556","1942","17833","1057","12609","1025","280112","894","33492","1683","6880","835","5733","734","13470","1197","22127","280","24.1","0.8","5.2","0.5","28.8","1.1","9.9","0.5","9.2","0.5","15.5","0.0","21.9","0.0","11.9","0.4","8.4","0.5","2.5","100.0","51.9","0.2","14.3","0.7","2.9","0.4","2.7","0.3","6.3","0.6","4.1","0.1","0.4141","0.4545","0.8081","0.2727","0.1717","2.1211","0.404","0.1212","0.6768","0.101","0.8586","0.8384","2.596","0.6263","0.8182","0.8182","0.8182","0.9293","0.0404","0.7576","0.6566","0.7677","3.1516","0.8182","8.6869","0.6465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","619034","26936","1490","182645","1675","46429","0","27944","636","1292","255","57","52","18852","1745","2893","1139","12.7","0.7","33.9","0.3","8.6","0.0","5.2","0.1","0.2","0.1","0.0","0.1","3.5","0.3","0.5","0.2","County","State"
"37","North Carolina","NC","37083","Halifax County","37083","Halifax County, North Carolina","723.73774721886","48772","0","24847","80","20139","425","18137","1123","1872","375","6753","594","6561","521","4924","693","10363","57","10366","50","9577","649","2258","328","174","133","30478","118","826","282","6014","522","433","166","1857","267","1203","97","38.1","2.4","9.3","1.8","33.5","2.9","18.9","1.5","10.3","1.5","21.2","0.1","21.3","0.1","20.1","1.4","11.2","1.6","0.4","0.3","62.5","0.2","3.3","1.1","24.2","2.1","2.1","0.8","9.2","1.3","2.5","0.2","0.9697","0.9293","0.9697","0.9394","0.3434","4.1515","0.9495","0.6061","0.596","0.8586","0.9899","0.0909","3.1415","0.8889","0.9596","0.9596","0.9596","0.6263","0.798","0.5253","0.899","0.596","3.4446","0.9394","11.6972","0.9596","1","1","1","1","0","4","0","0","0","1","0","1","1","1","0","0","0","0","0","0","6","45606","6677","522","25096","381","1592","0","420","69","1416","117","84","71","1822","378","48","56","33.2","2.5","51.5","0.8","3.3","0.0","0.9","0.1","2.9","0.2","0.2","0.1","3.7","0.8","0.1","0.1","County","State"
"37","North Carolina","NC","37085","Harnett County","37085","Harnett County, North Carolina","594.93314704182","134718","0","53252","88","47870","481","32433","2348","3002","434","12054","853","10426","799","13922","1130","17740","68","34387","0","19898","1021","3400","400","2352","406","53885","117","566","137","10183","631","912","208","2044","346","3258","72","24.7","1.8","5.3","0.7","25.2","1.8","11.8","0.9","10.8","0.9","13.2","0.1","25.5","0.0","15.5","0.8","7.1","0.8","1.9","0.3","40.0","0.1","1.0","0.3","19.1","1.2","1.9","0.4","4.3","0.7","2.4","0.1","0.4444","0.4848","0.596","0.4444","0.4343","2.4039","0.4747","0.0606","0.9798","0.3333","0.6667","0.7172","2.7576","0.7374","0.6263","0.6263","0.6263","0.1717","0.5152","0.3939","0.303","0.5758","1.9596","0.2424","7.7474","0.4949","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","109915","8816","584","27273","554","18477","0","1409","242","914","160","233","35","5331","645","248","117","18.4","1.2","20.2","0.4","13.7","0.0","1.0","0.2","0.7","0.1","0.2","0.1","4.0","0.5","0.2","0.1","County","State"
"37","North Carolina","NC","37087","Haywood County","37087","Haywood County, North Carolina","553.55978298219","62152","0","35051","40","26481","610","14364","1422","1023","315","6331","644","4482","546","6935","744","15580","79","11103","52","10598","781","1414","370","331","185","5316","60","704","215","5835","556","341","147","1146","266","531","9","23.4","2.3","3.5","1.1","23.9","2.4","9.6","1.2","11.2","1.2","25.1","0.1","17.9","0.1","17.2","1.3","5.3","1.4","0.6","0.3","8.6","0.1","2.0","0.6","16.6","1.6","1.3","0.6","4.3","1.0","0.9","0.0","0.3434","0.0404","0.4848","0.2323","0.5253","1.6262","0.2323","0.8182","0.1717","0.5455","0.303","0.1717","2.0101","0.1616","0.0404","0.0404","0.0404","0.3737","0.404","0.1616","0.303","0.1313","1.3736","0.0606","5.0503","0.0808","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51554","5252","662","503","194","2812","0","248","108","221","96","0","32","1524","260","8","14","19.8","2.4","0.8","0.3","4.5","0.0","0.4","0.2","0.4","0.2","0.0","0.1","2.5","0.4","0.0","0.1","County","State"
"37","North Carolina","NC","37089","Henderson County","37089","Henderson County, North Carolina","372.94916702911","116469","0","56744","52","49494","595","22664","1770","1994","449","11433","866","7350","713","14182","983","30397","120","21666","0","17124","894","2287","353","2599","518","20698","349","2281","410","8485","742","718","241","1820","327","1393","21","19.7","1.5","3.5","0.8","23.1","1.7","8.4","0.8","12.3","0.9","26.1","0.1","18.6","0.0","14.8","0.8","4.6","0.7","2.3","0.5","17.8","0.3","4.1","0.7","15.0","1.3","1.5","0.5","3.7","0.7","1.2","0.0","0.1818","0.0404","0.4343","0.1616","0.7475","1.5656","0.1717","0.8687","0.2929","0.2222","0.1717","0.7879","2.3434","0.3636","0.2727","0.2727","0.2727","0.7172","0.3434","0.2727","0.1515","0.2222","1.707","0.1717","5.8887","0.2424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105791","6085","587","3571","310","12313","0","1466","163","329","131","168","181","2373","358","478","350","12.3","1.2","3.1","0.3","10.6","0.0","1.3","0.1","0.3","0.1","0.1","0.2","2.0","0.3","0.4","0.3","County","State"
"37","North Carolina","NC","37091","Hertford County","37091","Hertford County, North Carolina","353.16337776115","21633","0","9864","49","8353","201","6898","600","670","177","2623","295","2438","292","2201","301","4413","54","3879","21","4256","321","644","125","122","93","14655","23","127","42","2173","288","110","55","751","150","2108","83","35.4","3.1","7.2","1.9","31.4","3.4","16.1","1.9","10.8","1.5","20.4","0.3","17.9","0.1","20.9","1.6","7.7","1.5","0.6","0.4","67.7","0.1","1.3","0.4","22.0","2.9","1.3","0.7","9.0","1.8","9.7","0.4","0.899","0.8384","0.9394","0.7778","0.4343","3.8889","0.8586","0.4949","0.1717","0.9192","0.7677","0.1717","2.5252","0.5556","0.9899","0.9899","0.9899","0.2323","0.6263","0.1616","0.8889","0.9394","2.8485","0.697","10.2525","0.8384","0","0","1","0","0","1","0","0","1","0","0","1","1","1","0","0","0","0","1","1","4","22601","1996","216","12522","225","1004","0","232","8","240","55","21","19","599","234","37","35","23.9","2.6","57.9","1.0","4.6","0.0","1.1","0.1","1.1","0.3","0.1","0.1","2.8","1.1","0.2","0.2","County","State"
